Region;Total
Andalucía;1.980,07
Aragón;2.162,35
Asturias, Principado de;2.341,76
Balears, Illes;2.124,98
Canarias;1.907,78
Cantabria;2.182,91
Castilla y León;2.142,40
Castilla - La Mancha;2.089,00
Cataluña;2.379,25
Comunitat Valenciana;2.085,52
Extremadura;1.928,51
Galicia;2.097,56
Madrid, Comunidad de;2.408,23
Murcia, Región de;1.995,72
Navarra, Comunidad Foral de;2.471,92
País Vasco;2.626,86
Rioja, La;2.204,48
Ceuta;2.577,35
Melilla;2.593,97
